scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
118878,Taurus Ethical Fund-Direct Plan-Bonus Option #,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Bonus,INF044D01CM4,,2022-01-03,2022-12-30,247,active
118879,Taurus Infrastructure Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Growth,INF044D01CD3,,2022-01-03,2022-12-30,247,active
118880,Taurus Infrastructure Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CE1,INF044D01CF8,2022-01-03,2022-12-30,247,active
118881,Taurus Nifty 50 Index Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Other Scheme - Index Funds ),Open Ended Schemes ( Other Scheme - Index Funds ),Direct Plan,Growth,INF044D01CQ5,,2022-01-03,2022-12-30,247,active
118882,Taurus Nifty 50 Index Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Other Scheme - Index Funds ),Open Ended Schemes ( Other Scheme - Index Funds ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01CR3,INF044D01CS1,2022-01-03,2022-12-30,247,active
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Direct Plan,Growth,INF044D01BU9,,2022-01-03,2022-12-30,247,active
118884,Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option,Taurus Mutual Fund,Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Open Ended Schemes ( Equity Scheme - Flexi Cap Fund ),Direct Plan,Income Distribution cum Capital Withdrawal,INF044D01BV7,INF044D01BW5,2022-01-03,2022-12-30,247,active
118901,HSBC Liquid Fund - Regular Daily IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Daily IDCW,,INF336L01BM9,2022-01-02,2022-12-30,305,active
118902,HSBC Liquid Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Growth,INF336L01BN7,,2022-01-02,2022-12-30,305,active
118903,HSBC Liquid Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Monthly IDCW,INF336L01BP2,INF336L01BO5,2022-01-02,2022-12-30,305,active
118904,HSBC Liquid Fund - Regular Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,Weekly IDCW,INF336L01LJ4,INF336L01BQ0,2022-01-02,2022-12-30,305,active
118906,HSBC Liquid Fund - IDCW,HSBC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Liquid Fund ),Regular Plan,IDCW,,INF336L01BK3,2022-01-02,2022-12-30,305,active
